제목,시작일,종료일,장소,이미지 URL
신재흥 : 자작나무 展,2025.03.27.,2025.04.17.,갤러리티,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250327_66%2F1743058330527x27Ey_JPEG%2F360_main_thumb_url_1743058330518.jpg
이한중 조각전,2025.04.04.,2025.04.16.,복합문화예술공간MERGE,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250327_111%2F1743046691532nLzHL_JPEG%2F360_main_thumb_url_1743046691448.jpg
송태석 : My story,2025.03.25.,2025.04.15.,갤러리티,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250326_260%2F17429589864106bz6J_JPEG%2F360_main_thumb_url_1742958986385.jpg
여근섭 초대전,2025.04.01.,2025.04.15.,이젤갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_8%2F1742893656473TVz6c_JPEG%2F360_main_thumb_url_1742893656443.jpg
책과 고양이가 있는 풍경,2025.04.01.,2025.04.29.,청년창조발전소고고씽Job,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_245%2F1742892821951u2sOF_JPEG%2F360_main_thumb_url_1742892821943.jpg
숨가쁘게 돌아가는 일상 속의 숨 고르기,2025.04.08.,2025.04.13.,성남아트센터,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_243%2F17428713705256Qo75_JPEG%2F360_main_thumb_url_1742871370518.jpg
Dream: 우리가 사는 별,2025.03.29.,2025.04.19.,부산광역시교육청 학생예술문화회관 영도놀이마루,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_41%2F174280784769613Jbz_JPEG%2F360_main_thumb_url_1742807847624.jpg
민지현 개인전,2025.04.03.,2025.04.26.,마리나 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_26%2F1742787859526U4jee_JPEG%2F360_main_thumb_url_1742787859506.jpg
이희원 : 한밤의 태양,2025.03.22.,2025.04.11.,낭만시간연구소,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250317_123%2F1742175582796vfgcl_PNG%2F360_main_thumb_url_1742175582785.png
ACC에 반한 스케치,2025.04.08.,2025.04.20.,국립아시아문화전당,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_120%2F1744176044467C5Yye_JPEG%2F360_main_thumb_url_1744176044459.jpg
Never tell anybody outside the family,2025.04.03.,2025.04.28.,신세계갤러리 신세계백화점대구점,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_120%2F1744175534547o0keH_PNG%2F360_main_thumb_url_1744175534513.png
암스테르담의 카페/ cafe in Amsterdam,2025.04.08.,2025.04.27.,schengenartgallery,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250407_116%2F1744005248830Qev2B_PNG%2F360_main_thumb_url_1744005248767.png
"다시, 봄",2025.03.30.,2025.04.25.,갤러리 오브제 카페,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250331_85%2F1743400715799MuyyV_PNG%2F360_main_thumb_url_1743400715692.png
"연화, 가장 아름다운 찰나",2025.04.03.,2025.04.22.,미지의,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250331_188%2F1743387411822OxXK7_JPEG%2F360_main_thumb_url_1743387411802.jpg
박경실 : 도마쟁이의 마음나들이,2025.04.01.,2025.04.13.,대구스포츠기념관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250328_153%2F1743141689346yYg2h_JPEG%2F360_main_thumb_url_1743141689336.jpg
한보라 : 사랑은 콩나물처럼,2025.04.09.,2025.04.15.,대전 MBC,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250326_146%2F1742966935107f5i7A_JPEG%2F360_main_thumb_url_1742966935095.jpg
박성휘 : The women story,2025.03.31.,2025.04.18.,자미갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250326_139%2F17429614095832B8Bk_JPEG%2F360_main_thumb_url_1742961409560.jpg
Blue arirang (푸른아리랑),2025.03.31.,2025.04.13.,젠갤러리카페,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_155%2F1742874549125b8uF7_JPEG%2F360_main_thumb_url_1742874549099.jpg
"빛과 색, 그녀들의 이야기",2025.03.28.,2025.04.13.,아리아갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_224%2F1742870436370pmGBl_JPEG%2F360_main_thumb_url_1742870436348.jpg
박준하 : 한잔 & 여유 II,2025.04.07.,2025.04.13.,갤러리큐,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250317_263%2F1742197184153Xk8Pt_JPEG%2F360_main_thumb_url_1742197184043.jpg
송윤경 개인전,2025.04.08.,2025.04.13.,서학동사진미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_111%2F1744179070360H648y_JPEG%2F360_main_thumb_url_1744179070238.jpg
자연의 숨소리를 담다,2025.04.01.,2025.04.30.,KR갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250402_145%2F1743565377386WpoPK_JPEG%2F360_main_thumb_url_1743565377328.jpg
사랑을 그려야 할 때,2025.04.10.,2025.04.19.,비오케이아트센터,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250328_118%2F1743133245450M6RNR_JPEG%2F360_main_thumb_url_1743133245432.jpg
개나리아트페어 2025,2025.04.04.,2025.04.13.,개나리미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250327_148%2F1743047963146VVVEA_JPEG%2F360_main_thumb_url_1743047963137.jpg
"태고의 땅 몽골, 유목민의 영혼을 그리다",2025.03.23.,2025.04.15.,문화공간 기린,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_8%2F1742788445759jpDxw_JPEG%2F360_main_thumb_url_1742788445746.jpg
류덕호 : 먼 곳,2025.03.24.,2025.04.20.,갤러리 허송세월,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250213_251%2F1739428557346IUx35_PNG%2F360_main_thumb_url_1739428557329.png
이금숙 : 선線이 하나가되어,2025.04.10.,2025.04.20.,돌담갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_182%2F1744167642758WtxIs_PNG%2F360_main_thumb_url_1744167642653.png
流花 유화-흐르는 꽃,2025.04.04.,2025.05.10.,매스갤러리 한남,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_188%2F17441814239608u1Jp_JPEG%2F360_main_thumb_url_1744181423943.jpg
"여기, 마음이 쉬어 가는 곳",2025.03.30.,2025.05.09.,아트문갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_89%2F174417931940840iE8_JPEG%2F360_main_thumb_url_1744179319364.jpg
세계유산과 한양의 수도성곽,2025.04.08.,2025.07.06.,한양도성박물관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_21%2F1744178312682gLbLX_JPEG%2F360_main_thumb_url_1744178312553.jpg
권용래 : ETERNAL FLAME,2025.04.10.,2025.05.10.,갤러리조은,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_162%2F1744177740951c4f29_JPEG%2F360_main_thumb_url_1744177740942.jpg
"미니버스, 오르트 구름, ㄷ떨:안녕인사",2025.04.10.,2025.05.18.,아르코미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_117%2F1744170874343mesLB_JPEG%2F360_main_thumb_url_1744170874333.jpg
Moving Life,2025.04.09.,2025.05.30.,갤러리밈,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_191%2F1744168583237LMIUC_JPEG%2F360_main_thumb_url_1744168583208.jpg
젊은 시각 새로운 시선 2025,2025.04.10.,2025.07.06.,성곡미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_26%2F17441683042363wf61_JPEG%2F360_main_thumb_url_1744168304210.jpg
그림 속의 자연 畫中自然,2025.04.10.,2025.07.06.,성곡미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_127%2F17441680171928mGf6_JPEG%2F360_36755679_main_thumb_url_1744168016905.jpg
이은비 : The Garden of Colors,2025.04.02.,2025.05.28.,호텔스카이파크 킹스타운 동대문점,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_300%2F1744104588026WgCHP_PNG%2F360_main_thumb_url_1744104587956.png
신예원 : 주름진 도시,2025.03.28.,2025.05.11.,서울공예박물관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_112%2F1744101979930xN5v4_JPEG%2F360_main_thumb_url_1744101979909.jpg
조각가의 사람들,2025.04.10.,2025.06.28.,성북구립 최만린미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_216%2F1744084911180zmRYd_JPEG%2F360_main_thumb_url_1744084911146.jpg
APRIL FOOLS 4: ECHOES OF UNSEEN,2025.04.05.,2025.05.05.,플로어,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_171%2F1744084302379yzrCT_JPEG%2F360_main_thumb_url_1744084302355.jpg
The World Beyond,2025.04.05.,2025.05.06.,이엔갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_29%2F1744079615699HPavd_JPEG%2F360_main_thumb_url_1744079615519.jpg
조선민화전,2025.03.27.,2025.06.29.,아모레퍼시픽미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_244%2F1743756149004nhpSu_JPEG%2F360_main_thumb_url_1743756148962.jpg
구민지 : 시간을 넘어 깨어나는 존재 : Ethereal Awakening,2025.03.27.,2025.05.03.,갤러리자유,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_137%2F1743747645095tp5iD_JPEG%2F360_main_thumb_url_1743747645056.jpg
정원극 #2. 숭고한 도약,2025.03.28.,2025.04.28.,스윙화이트,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_84%2F174373825236667UC1_JPEG%2F360_main_thumb_url_1743738252208.jpg
미래에서 만난 근대 1900-1980,2025.03.27.,2025.05.30.,JN GALLERY,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_286%2F1743736754582UCUIn_PNG%2F360_main_thumb_url_1743736754560.png
"공연예술, 시대를 담다",2025.04.02.,2025.06.15.,대한민국역사박물관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250402_78%2F17435753537834hrg9_JPEG%2F360_main_thumb_url_1743575353770.jpg
August is the cruelest,2025.04.02.,2025.05.10.,두산갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250402_20%2F1743574336655vtI5n_JPEG%2F360_main_thumb_url_1743574336609.jpg
Jane Massey : With You,2025.04.04.,2025.05.10.,한솥 아트스페이스,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250401_141%2F1743485680798R5BVS_JPEG%2F360_main_thumb_url_1743485680778.jpg
살에 붙는 그림 Flesh on canvas,2025.03.27.,2025.05.04.,에브리데이몬데이 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250331_103%2F17433936263237SivO_JPEG%2F360_main_thumb_url_1743393626311.jpg
Cotton candy,2025.04.01.,2025.05.10.,디크레센도,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250331_300%2F1743393277700O1yDE_JPEG%2F360_main_thumb_url_1743393277671.jpg
김승우 : Seize the Moment,2025.02.24.,2025.04.26.,하우스서울,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250331_61%2F1743390318611JGv8P_JPEG%2F360_main_thumb_url_1743390318603.jpg
신선주 개인전,2025.04.08.,2025.06.28.,나스 컨템포러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250331_71%2F17433863358069XEFd_JPEG%2F360_main_thumb_url_1743386335786.jpg
박지원 : Organically,2025.04.03.,2025.05.09.,토마스 파크 클럼지 플레이스,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250328_34%2F17431418918012VoWq_JPEG%2F360_main_thumb_url_1743141891761.jpg
Playful Whim,2025.04.01.,2025.05.31.,H.art LAB 89,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250328_263%2F1743141270943L17b3_JPEG%2F360_main_thumb_url_1743141270881.jpg
2025 금호영아티스트 1부,2025.03.21.,2025.04.27.,금호미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250328_261%2F1743138572108aJto4_JPEG%2F360_main_thumb_url_1743138572065.jpg
INKONG ARCHIVE,2025.03.26.,2025.05.10.,피비갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250328_35%2F1743132214455qRf8z_JPEG%2F360_main_thumb_url_1743132214383.jpg
필동갤러리 20세기 판화전,2025.03.05.,2025.04.30.,필동갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250328_230%2F1743131803040AIX1O_JPEG%2F360_main_thumb_url_1743131802977.jpg
추상적인 인식자,2025.03.27.,2025.05.16.,KF갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250327_101%2F1743056263340QxRoW_JPEG%2F360_main_thumb_url_1743056263296.jpg
Ritual and Improvisation: Late Works by Hermann Nitsch,2025.03.22.,2025.05.31.,페레스프로젝트,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250326_69%2F1742968536641aSGab_JPEG%2F360_main_thumb_url_1742968536627.jpg
TWO ARTISTS,2025.03.15.,2025.04.19.,메타갤러리 라루나,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_228%2F1742894965748NBnYC_PNG%2F360_main_thumb_url_1742894965659.png
빈 자리를 채우는 말,2025.03.27.,2025.05.03.,에브리아트,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_58%2F1742873846190W7HN8_JPEG%2F360_36660123_main_thumb_url_1742873846097.jpg
DIALOGUES,2025.03.27.,2025.05.03.,에브리아트,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_128%2F1742873642903oyALp_JPEG%2F360_main_thumb_url_1742873642875.jpg
"류민자, 생명의 노래",2025.03.21.,2025.05.04.,해프닝 서울,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_22%2F1742869657318yKN5O_PNG%2F360_main_thumb_url_1742869657274.png
얽힘의 실재,2025.03.24.,2025.04.26.,서리풀 휴(休) 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_255%2F1742801105413xFyY7_JPEG%2F360_36656436_main_thumb_url_1742801105402.jpg
"도자회화, 가구를 만나다",2025.03.08.,2025.04.27.,KP갤러리온,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_40%2F1742785608759XfTns_PNG%2F360_main_thumb_url_1742785608664.png
모두의 바다 Where the Line is Drawn,2025.03.19.,2025.05.02.,라니앤컴퍼니,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250321_95%2F1742527345231dG1n1_JPEG%2F360_main_thumb_url_1742527345151.jpg
소소한 행복을 차곡차곡 모아서,2025.04.08.,2025.05.11.,어티피컬,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250321_3%2F1742524473100nl3Cf_JPEG%2F360_main_thumb_url_1742524473086.jpg
고동치는 대지: 조문자,2025.03.27.,2025.05.25.,성북구립미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250321_56%2F1742522212779A2GMu_PNG%2F360_main_thumb_url_1742522212763.png
두번째 피부,2025.03.20.,2025.04.30.,원앤제이 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250320_25%2F1742441770159Tpd2l_PNG%2F360_main_thumb_url_1742441770098.png
하종현 개인전,2025.03.20.,2025.05.11.,국제갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250320_80%2F1742441536356j69kI_JPEG%2F360_main_thumb_url_1742441536340.jpg
축제 Festival,2025.04.09.,2025.07.06.,스페이스K 서울,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250320_28%2F1742440561635GiFKA_PNG%2F360_main_thumb_url_1742440561614.png
the gradient,2025.03.21.,2025.04.25.,눈 컨템포러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250319_112%2F17423664059853i00V_JPEG%2F360_main_thumb_url_1742366405975.jpg
"플롯, 블롭, 플롭 (Plot, Blop, Plop)",2025.03.21.,2025.06.01.,아뜰리에 에르메스,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250319_196%2F1742363959764mBn3Y_JPEG%2F360_main_thumb_url_1742363959649.jpg
영등포 미디어아트 페스티벌 : 꽃,2025.03.24.,2025.05.25.,영등포아트스퀘어,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250319_160%2F1742362884293b15md_JPEG%2F360_main_thumb_url_1742362884284.jpg
김근태 개인전,2025.03.13.,2025.04.30.,리안갤러리 서울,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250318_208%2F1742275901641bS7yv_JPEG%2F360_main_thumb_url_1742275901629.jpg
강명희-방문 Visit,2025.03.04.,2025.06.08.,서울시립미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250318_154%2F1742270240911NkL75_JPEG%2F360_main_thumb_url_1742270240892.jpg
쏘지마! 최루탄!,2025.03.14.,2025.05.25.,이한열기념관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250318_180%2F17422671720721dEEL_JPEG%2F360_main_thumb_url_1742267172053.jpg
공산품미학 part 2. Good Appearance,2025.03.13.,2025.06.01.,동대문디자인플라자뮤지엄,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250318_23%2F1742266406776CF0S3_JPEG%2F360_main_thumb_url_1742266406721.jpg
끌림과 쓰임에 '적합한지',2025.03.18.,2025.04.25.,페이퍼익스프레스,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250317_162%2F1742200366289GeqI7_JPEG%2F360_main_thumb_url_1742200366281.jpg
스와 블루,2025.03.20.,2025.04.24.,레이블갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250317_20%2F17422001210568Qdmt_JPEG%2F360_main_thumb_url_1742200121041.jpg
"민화, 오늘의 이야기",2025.03.18.,2025.05.10.,김세중미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250317_96%2F1742183672749SCNbA_JPEG%2F360_main_thumb_url_1742183672726.jpg
봄이 오는,2025.03.13.,2025.06.13.,진동,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250317_131%2F17421821130966uQ8i_PNG%2F360_main_thumb_url_1742182113058.png
선과 획 사이,2025.04.04.,2025.06.08.,김종영미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250317_113%2F1742176425930NN3JT_JPEG%2F360_main_thumb_url_1742176425905.jpg
Ice Breakers,2025.03.13.,2025.04.15.,탑골미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250314_15%2F1741930615680IHXH8_JPEG%2F360_main_thumb_url_1741930615670.jpg
The Art of Meditation 명상의 예술,2025.03.19.,2025.04.22.,갤러리 일호,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250314_222%2F1741923228299PjFdJ_JPEG%2F360_main_thumb_url_1741923228291.jpg
자연국가,2025.03.20.,2025.05.11.,국제갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250314_67%2F1741920328988BWsVF_JPEG%2F360_main_thumb_url_1741920328905.jpg
내 동심의 세계로,2025.03.13.,2025.05.03.,흰물결갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250313_89%2F1741845260615CDpgk_JPEG%2F360_main_thumb_url_1741845260501.jpg
"시간의 결, 예술의 흔적",2025.03.13.,2025.04.26.,유나갤러리 서울,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250313_257%2F1741838438789L0Ci8_JPEG%2F360_main_thumb_url_1741838438781.jpg
이미주 : 탐구생활: 숨겨진 실타래,2025.03.21.,2025.04.30.,서정아트 서울,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250313_241%2F1741837849343dxSv5_JPEG%2F360_main_thumb_url_1741837849332.jpg
VIEW & VISION,2025.03.11.,2025.04.19.,서인갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250313_252%2F1741833871408QqX7j_JPEG%2F360_main_thumb_url_1741833871337.jpg
획: Stroke,2025.03.13.,2025.04.12.,디아 컨템포러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250312_184%2F1741767897232fYOHb_PNG%2F360_main_thumb_url_1741767897107.png
정창섭 권대섭 2인전,2025.03.06.,2025.04.20.,조현화랑 서울,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250311_85%2F1741685546283tF0DJ_JPEG%2F360_main_thumb_url_1741685546274.jpg
히타이트,2025.03.08.,2025.06.08.,한성백제박물관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250311_217%2F1741662591172X4yl0_JPEG%2F360_main_thumb_url_1741662591143.jpg
